bin_center,original_r2,galerkin_r2,wavelet_db32_r2,standard_p4_r2,hybrid_N12_p4_int64_r2,original_r4,galerkin_r4,wavelet_db32_r4,standard_p4_r4,hybrid_N12_p4_int64_r4,original_r8,galerkin_r8,wavelet_db32_r8,standard_p4_r8,hybrid_N12_p4_int64_r8
-18.95,3.5184480479769726e-07,0.0,2.2005385713852846e-06,5.3315274129208904e-06,1.3656421422768223e-06,8.949574139985614e-08,0.0,7.457995265243855e-07,3.6932626702556347e-06,2.4462180699944156e-07,0.0,0.0,5.972220088063405e-08,9.973633767062553e-07,5.972220223597508e-08
-18.850002,3.935815965842498e-07,0.0,2.4688498434570675e-06,5.343352849389549e-06,1.2165313683107815e-06,1.0142657233197681e-07,0.0,1.067964551864818e-06,3.997477854889556e-06,3.042798585988777e-07,0.0,0.0,2.3888424709758968e-08,1.1645637661587313e-06,4.180474419079882e-08
-18.75,3.935815965842498e-07,0.0,2.5881179518366363e-06,5.790620107988004e-06,1.1568974777073118e-06,1.1932537921409035e-07,0.0,9.72504033262376e-07,4.289830712933718e-06,2.923473151244119e-07,0.0,0.0,7.16652741292769e-08,1.1526195224032572e-06,2.98605315648563e-08
-18.650002,3.6972816648823464e-07,0.0,2.6238983843505065e-06,5.719057346612252e-06,1.300018815155639e-06,1.1932537921409035e-07,0.0,1.067964551864818e-06,4.349494561514159e-06,3.341112172850422e-07,0.0,0.0,7.16652741292769e-08,1.3198389349798956e-06,2.98605315648563e-08
-18.55,4.1743502668026494e-07,0.0,2.796837141500881e-06,5.993381265219304e-06,1.5385543775695176e-06,1.372241860962039e-07,0.0,1.1932564825305228e-06,4.391259255520468e-06,3.221786738105764e-07,0.0,0.0,2.3888424709758968e-08,1.5348353225784307e-06,1.791631893891378e-08
-18.45,4.1743502668026494e-07,0.0,2.8862882227855575e-06,6.017235519011222e-06,1.5743347119315996e-06,1.372241860962039e-07,0.0,1.079897116690123e-06,4.07504085804413e-06,3.042798585988777e-07,0.0,0.0,1.1944212354879483e-07,1.5945565413558014e-06,5.374895681674134e-08
-18.349998,5.068853895403217e-07,0.0,2.9459222769753414e-06,5.9874177017713245e-06,1.5683713228712526e-06,1.312579171354994e-07,0.0,1.157458788054607e-06,4.6537801892744084e-06,3.6394257597120664e-07,5.972106009808662e-09,0.0,1.0749791119391535e-07,1.6542777601331724e-06,8.360948838159763e-08
-18.25,5.247754621123331e-07,5.9633535339760156e-09,3.166568277477543e-06,6.249814493482419e-06,1.6280052134747222e-06,1.670555308997265e-07,5.966268174021948e-09,1.2946832835456172e-06,4.934200277602482e-06,3.878076629201382e-07,0.0,0.0,8.958159266159613e-08,1.6005286632335385e-06,4.180474419079882e-08
-18.15,6.082740693112732e-07,5.963467277653707e-09,3.3395707316416245e-06,6.5958269784010115e-06,1.7353793161683638e-06,1.909242483196931e-07,5.966381973292833e-09,1.4319350909268203e-06,4.958160386078243e-06,3.5798313219430476e-07,0.0,5.972219920429128e-09,1.2541662184933152e-07,1.6722260208248593e-06,8.958330335396263e-08
-18.05,5.367021771603406e-07,5.9633535339760156e-09,3.2440925479242626e-06,6.786535203800565e-06,1.7830533290437435e-06,1.6108926193902198e-07,5.966268174021948e-09,1.5393008624643744e-06,5.059494359621409e-06,4.474703802924672e-07,0.0,5.972106009808662e-09,1.1347001737135509e-07,1.779692319565651e-06,7.166527575565512e-08
-17.95,7.156029028804541e-07,1.1926707067952031e-08,3.512445791778292e-06,7.066822685855597e-06,1.7055292712592327e-06,1.73021799860431e-07,5.966268174021948e-09,1.6705590755427317e-06,5.2444522902207765e-06,3.520100324967409e-07,5.972106009808662e-09,1.1944212019617323e-08,1.6124686679087303e-07,1.6542777601331724e-06,8.360948838159763e-08
-17.849998,6.142258249723899e-07,1.7890060601928048e-08,3.3991410888177016e-06,6.8640615286242974e-06,1.8963577211903357e-06,1.8495433778184006e-07,5.966268174021948e-09,1.4736717559251956e-06,5.143023747634027e-06,3.6990884770843957e-07,0.0,0.0,1.313863359036743e-07,1.7319153445437543e-06,5.97210631297126e-08
